project_id,year,project_type,implementing_agency,location,contractor,has_contractor,contractor_reliability,procurement_mode,funding_source,approved_budget,planned_duration_months,start_month,start_date,planned_end_date,agency_capacity,typhoon_exposure,cpi_at_start,cmrpi_at_start,cpi_change,cmrpi_change,is_delayed,delay_days,delay_probability,is_cost_overrun,cost_overrun_pct,overrun_probability,risk_category
PROJ-2022-0037,2022,Non-Infrastructure,Provincial Agriculture Office,Bingawan,N/A,0,0.5,Alternative Mode (Negotiated),Supplemental Budget,2908339.74,6,11,2022-11-06,2023-05-05,0.62,3.8,116.0,125.3,7.1,5.7,0,0,0.3222,0,0.0,0.3925,Medium
PROJ-2019-0038,2019,Non-Infrastructure,Provincial Accountant's Office,Oton,N/A,0,0.5,Alternative Mode (Shopping),GAD Fund,78965.68,6,6,2019-06-13,2019-12-10,0.8,14.3,102.5,103.2,2.6,4.3,0,0,0.1574,0,0.0,0.333,Low
PROJ-2021-0039,2021,Infrastructure,Provincial Planning Office,Batad,Orchard Valley Enterprises,1,0.77,Repeat Order,Special Budget,1308566.76,12,7,2021-07-02,2022-06-27,0.82,16.6,109.8,114.0,6.2,11.3,0,0,0.5735,1,0.3,0.4638,High
PROJ-2023-0040,2023,Non-Infrastructure,ICTMO,Concepcion,N/A,0,0.5,Competitive Bidding,MOOE,965843.62,6,1,2023-01-13,2023-07-12,0.78,2.8,123.1,131.0,4.7,4.8,0,0,0.2049,1,0.282,0.3654,Medium
PROJ-2016-0041,2016,Non-Infrastructure,PGENRO,Sara,PACEMCO Construction,1,0.93,Direct Contracting,20% NTA,373247.44,6,12,2016-12-10,2017-06-08,0.68,2.3,94.5,96.0,3.2,2.5,0,0,0.102,1,0.295,0.318,Low
PROJ-2023-0042,2023,Infrastructure,IPG/HMO,Pototan,Island Builders Corporation,1,0.61,Alternative Mode (Shopping),LDRRMF,1775326.9,12,11,2023-11-05,2024-10-30,0.67,16.6,123.1,131.0,4.7,4.8,1,91,0.6768,1,0.294,0.763,High
PROJ-2025-0043,2025,Non-Infrastructure,OLEDIPO,Lemery,N/A,0,0.5,Competitive Bidding,MOOE,566632.86,6,2,2025-02-03,2025-08-02,0.55,5.0,132.5,139.2,0.0,0.0,1,108,0.1917,1,0.162,0.6743,Medium
PROJ-2018-0044,2018,Non-Infrastructure,Provincial Planning Office,Bingawan,N/A,0,0.5,Competitive Bidding,Supplemental Budget,14448526.09,6,5,2018-05-13,2018-11-09,0.82,12.8,100.0,100.0,2.5,3.2,0,0,0.4961,1,0.321,0.3247,Medium
PROJ-2019-0045,2019,Infrastructure,PGENRO,Pototan,Dreamer's Valley Construction,1,0.36,Alternative Mode (Negotiated),GAD Fund,4399838.07,12,5,2019-05-04,2020-04-28,0.68,16.6,102.5,103.2,2.6,4.3,0,0,0.7748,1,0.176,0.4641,High
PROJ-2016-0046,2016,Non-Infrastructure,OLEDIPO,Barotac Viejo,N/A,0,0.5,Repeat Order,LDRRMF,677748.26,6,10,2016-10-04,2017-04-02,0.55,6.1,94.5,96.0,3.2,2.5,0,0,0.2523,0,0.0,0.2926,Medium
PROJ-2023-0047,2023,Non-Infrastructure,Provincial Accountant's Office,Sta. Barbara,N/A,0,0.5,Alternative Mode (Shopping),20% NTA,3845622.78,6,7,2023-07-03,2023-12-30,0.8,13.8,123.1,131.0,4.7,4.8,1,50,0.4436,1,0.235,0.6332,High
PROJ-2017-0048,2017,Non-Infrastructure,PHO,Barotac Nuevo,N/A,0,0.5,Direct Contracting,20% NTA,299849.35,6,12,2017-12-09,2018-06-07,0.72,2.3,97.7,98.5,2.3,1.5,0,0,0.1425,0,0.0,0.2481,Low
PROJ-2018-0049,2018,Non-Infrastructure,IPG-HRMDO,Tubungan,A. Maquiling Construction and Supply,1,0.71,Direct Contracting,Supplemental Budget,188888.45,6,5,2018-05-03,2018-10-30,0.7,12.8,100.0,100.0,2.5,3.2,0,0,0.1717,0,0.0,0.2855,Low
PROJ-2022-0050,2022,Non-Infrastructure,Provincial Planning Office,Tigbauan,N/A,0,0.5,Repeat Order,Supplemental Budget,358562.86,6,11,2022-11-12,2023-05-11,0.82,3.8,116.0,125.3,7.1,5.7,1,81,0.1777,1,0.23,0.675,Medium
PROJ-2024-0051,2024,Non-Infrastructure,OPPESM,Anilao,N/A,0,0.5,Repeat Order,SEF,32827973.17,6,3,2024-03-06,2024-09-02,0.65,7.8,127.8,135.8,4.7,3.4,0,0,0.4877,0,0.0,0.3084,Medium
PROJ-2023-0052,2023,Non-Infrastructure,HMO,San Enrique,N/A,0,0.5,Repeat Order,Special Budget,53789276.61,6,1,2023-01-10,2023-07-09,0.7,2.8,123.1,131.0,4.7,4.8,0,0,0.3612,0,0.0,0.3331,Medium
PROJ-2016-0053,2016,Non-Infrastructure,IPG-HRMDO,Pototan,N/A,0,0.5,Alternative Mode (Shopping),Trust Fund,393304.75,6,4,2016-04-01,2016-09-28,0.7,10.5,94.5,96.0,3.2,2.5,0,0,0.2569,0,0.0,0.3424,Medium
PROJ-2016-0054,2016,Non-Infrastructure,ICTMO,Estancia,N/A,0,0.5,Alternative Mode (Shopping),Special Budget,702897.36,6,9,2016-09-06,2017-03-05,0.78,8.8,94.5,96.0,3.2,2.5,0,0,0.2568,0,0.0,0.3341,Medium
PROJ-2016-0055,2016,Non-Infrastructure,PSWDO,Alimodian,Panay Construction Services,1,0.53,Competitive Bidding,HFEP,26219.58,6,4,2016-04-08,2016-10-05,0.75,10.5,94.5,96.0,3.2,2.5,1,83,0.1592,0,0.0,0.6637,Medium
PROJ-2018-0056,2018,Infrastructure,Provincial Agriculture Office,Barotac Nuevo,Island Builders Corporation,1,0.61,Direct Contracting,GAD Fund,949806.85,12,12,2018-12-05,2019-11-30,0.62,16.6,100.0,100.0,2.5,3.2,0,0,0.5981,1,0.295,0.398,High
PROJ-2016-0057,2016,Non-Infrastructure,OPPESM,Lambunao,Panay Construction Services,1,0.53,Direct Contracting,SEF,10000.0,6,4,2016-04-07,2016-10-04,0.65,10.5,94.5,96.0,3.2,2.5,0,0,0.1379,0,0.0,0.3066,Low
PROJ-2024-0058,2024,Non-Infrastructure,Provincial Accountant's Office,Lemery,N/A,0,0.5,Alternative Mode (Shopping),HFEP,1343302.86,6,4,2024-04-14,2024-10-11,0.8,10.5,127.8,135.8,4.7,3.4,0,0,0.3575,1,0.337,0.3143,Medium
PROJ-2016-0059,2016,Non-Infrastructure,OLEDIPO,Anilao,N/A,0,0.5,Alternative Mode (Negotiated),20% NTA,38415351.99,6,8,2016-08-06,2017-02-02,0.55,11.6,94.5,96.0,3.2,2.5,0,0,0.5259,0,0.0,0.3161,Medium
PROJ-2019-0060,2019,Non-Infrastructure,Provincial Accountant's Office,Dumangas,N/A,0,0.5,Direct Contracting,LDRRMF,133310.54,6,3,2019-03-01,2019-08-28,0.8,7.8,102.5,103.2,2.6,4.3,0,0,0.1763,0,0.0,0.3286,Low
PROJ-2022-0061,2022,Non-Infrastructure,ICTMO,Zarraga,N/A,0,0.5,Alternative Mode (Shopping),HFEP,10000.0,6,2,2022-02-09,2022-08-08,0.78,5.0,116.0,125.3,7.1,5.7,0,0,0.123,1,0.168,0.3493,Low
PROJ-2025-0062,2025,Non-Infrastructure,PHO,Miagao,N/A,0,0.5,Direct Contracting,General Fund,347794.48,6,7,2025-07-12,2026-01-08,0.72,13.8,132.5,139.2,0.0,0.0,1,58,0.2364,1,0.138,0.6375,Medium
PROJ-2024-0063,2024,Non-Infrastructure,PSWDO,San Miguel,N/A,0,0.5,Alternative Mode (Shopping),MOOE,287493.51,6,10,2024-10-09,2025-04-07,0.75,6.1,127.8,135.8,4.7,3.4,0,0,0.2011,0,0.0,0.3477,Medium
PROJ-2018-0064,2018,Non-Infrastructure,Provincial Planning Office,Pototan,N/A,0,0.5,Alternative Mode (Shopping),General Fund,11773050.31,6,8,2018-08-12,2019-02-08,0.82,11.6,100.0,100.0,2.5,3.2,0,0,0.4691,1,0.335,0.3315,Medium
PROJ-2019-0065,2019,Non-Infrastructure,PGENRO,Calinog,N/A,0,0.5,Direct Contracting,Special Budget,1056152.85,6,5,2019-05-10,2019-11-06,0.68,12.8,102.5,103.2,2.6,4.3,1,101,0.3487,0,0.0,0.6739,Medium
PROJ-2019-0066,2019,Non-Infrastructure,PSWDO,Anilao,N/A,0,0.5,Alternative Mode (Negotiated),Supplemental Budget,189914.18,6,10,2019-10-10,2020-04-07,0.75,6.1,102.5,103.2,2.6,4.3,0,0,0.1586,1,0.254,0.3456,Low
PROJ-2024-0067,2024,Infrastructure,HMO,Batad,CEBU ERNBRI IMPORT INC.,1,0.71,Repeat Order,LDRRMF,601332.77,12,3,2024-03-08,2025-03-03,0.7,16.6,127.8,135.8,4.7,3.4,0,0,0.5646,1,0.313,0.4545,High
PROJ-2024-0068,2024,Non-Infrastructure,PSWDO,Banate,N/A,0,0.5,Competitive Bidding,Special Budget,719833.05,6,4,2024-04-09,2024-10-06,0.75,10.5,127.8,135.8,4.7,3.4,0,0,0.2826,0,0.0,0.3219,Medium
PROJ-2019-0069,2019,Infrastructure,Provincial Accountant's Office,Tubungan,CEBU ERNBRI IMPORT INC.,1,0.71,Repeat Order,20% NTA,274634.96,12,10,2019-10-01,2020-09-25,0.8,16.6,102.5,103.2,2.6,4.3,0,0,0.4492,0,0.0,0.4995,Medium
PROJ-2025-0070,2025,Non-Infrastructure,PCDO,Guimbal,N/A,0,0.5,Direct Contracting,Trust Fund,542941.22,6,9,2025-09-05,2026-03-04,0.6,8.8,132.5,139.2,0.0,0.0,0,0,0.2316,1,0.195,0.2499,Low
PROJ-2025-0071,2025,Non-Infrastructure,PCDO,Barotac Viejo,N/A,0,0.5,Alternative Mode (Negotiated),Supplemental Budget,1687911.98,6,11,2025-11-08,2026-05-07,0.6,3.8,132.5,139.2,0.0,0.0,1,100,0.2372,1,0.332,0.6702,Medium
PROJ-2020-0072,2020,Infrastructure,OLEDIPO,Maasin,Golden West Engineering,1,0.66,Alternative Mode (Shopping),20% NTA,1650620.98,12,4,2020-04-01,2021-03-27,0.55,16.6,105.1,107.5,4.7,6.5,0,0,0.6727,1,0.335,0.4946,High
PROJ-2021-0073,2021,Non-Infrastructure,PGENRO,Iloilo City,Iloilo New Agri-Industrial Marketing,1,0.44,Repeat Order,HFEP,952728.51,6,6,2021-06-02,2021-11-29,0.68,14.3,109.8,114.0,6.2,11.3,0,0,0.3636,0,0.0,0.3537,Medium
PROJ-2018-0074,2018,Non-Infrastructure,Provincial Planning Office,Carles,N/A,0,0.5,Repeat Order,Special Budget,4235418.75,6,6,2018-06-09,2018-12-06,0.82,14.3,100.0,100.0,2.5,3.2,0,0,0.3979,0,0.0,0.2571,Medium
PROJ-2016-0075,2016,Non-Infrastructure,OPPESM,Leon,N/A,0,0.5,Competitive Bidding,HFEP,10131993.48,6,2,2016-02-02,2016-07-31,0.65,5.0,94.5,96.0,3.2,2.5,0,0,0.3917,1,0.151,0.3165,Medium
PROJ-2024-0076,2024,Non-Infrastructure,OLEDIPO,Oton,N/A,0,0.5,Repeat Order,SEF,16933115.47,6,3,2024-03-03,2024-08-30,0.55,7.8,127.8,135.8,4.7,3.4,0,0,0.5267,1,0.134,0.3126,Medium
PROJ-2017-0077,2017,Non-Infrastructure,Provincial Planning Office,Igbaras,N/A,0,0.5,Direct Contracting,SEF,9323175.9,6,2,2017-02-13,2017-08-12,0.82,5.0,97.7,98.5,2.3,1.5,0,0,0.3301,0,0.0,0.3196,Medium
PROJ-2025-0078,2025,Infrastructure,IPG/HMO,Oton,Island Builders Corporation,1,0.61,Direct Contracting,20% NTA,131483.95,12,1,2025-01-10,2026-01-05,0.67,16.6,132.5,139.2,0.0,0.0,0,0,0.4102,1,0.258,0.4314,Medium
PROJ-2016-0079,2016,Infrastructure,OPPESM,Lambunao,Panay Construction Services,1,0.53,Alternative Mode (Negotiated),HFEP,5992497.73,12,11,2016-11-14,2017-11-09,0.65,16.6,94.5,96.0,3.2,2.5,0,0,0.7287,0,0.0,0.4572,High
PROJ-2016-0080,2016,Infrastructure,OLEDIPO,Anilao,PCC Construction Corp,1,0.85,Alternative Mode (Shopping),HFEP,1454871.9,12,12,2016-12-08,2017-12-03,0.55,16.6,94.5,96.0,3.2,2.5,1,269,0.5862,1,0.228,0.7705,High
PROJ-2022-0081,2022,Infrastructure,IPG/HMO,Barotac Viejo,RS AGRO INDUSTRIAL Corporation,1,0.44,Alternative Mode (Negotiated),Supplemental Budget,246318.55,12,5,2022-05-10,2023-05-05,0.67,16.6,116.0,125.3,7.1,5.7,0,0,0.571,0,0.0,0.3941,Medium
PROJ-2024-0082,2024,Infrastructure,Provincial Engineering Office,Estancia,Conquest Construction Supply,1,0.79,Alternative Mode (Shopping),Special Budget,80000000.0,12,6,2024-06-06,2025-06-01,0.73,16.6,127.8,135.8,4.7,3.4,1,270,0.7479,0,0.0,0.7918,Critical
PROJ-2019-0083,2019,Non-Infrastructure,Provincial Planning Office,Lambunao,N/A,0,0.5,Competitive Bidding,20% NTA,5821471.03,6,1,2019-01-12,2019-07-11,0.82,2.8,102.5,103.2,2.6,4.3,0,0,0.2841,1,0.327,0.3291,Medium
PROJ-2023-0084,2023,Non-Infrastructure,OPPESM,Dumangas,N/A,0,0.5,Direct Contracting,MOOE,167926.48,6,11,2023-11-01,2024-04-29,0.65,3.8,123.1,131.0,4.7,4.8,0,0,0.1529,0,0.0,0.3559,Low
PROJ-2018-0085,2018,Non-Infrastructure,PGENRO,Lemery,N/A,0,0.5,Direct Contracting,20% NTA,96094.43,6,2,2018-02-07,2018-08-06,0.68,5.0,100.0,100.0,2.5,3.2,0,0,0.152,0,0.0,0.3,Low
PROJ-2025-0086,2025,Non-Infrastructure,ICTMO,Barotac Nuevo,N/A,0,0.5,Alternative Mode (Negotiated),Special Budget,843754.07,6,8,2025-08-07,2026-02-03,0.78,11.6,132.5,139.2,0.0,0.0,0,0,0.2526,1,0.07,0.2867,Medium
PROJ-2016-0087,2016,Non-Infrastructure,PSWDO,Passi City,N/A,0,0.5,Repeat Order,MOOE,2016150.18,6,1,2016-01-06,2016-07-04,0.75,2.8,94.5,96.0,3.2,2.5,1,33,0.2468,0,0.0,0.591,Medium
PROJ-2022-0088,2022,Non-Infrastructure,OPPESM,San Joaquin,Conquest Construction Supply,1,0.79,Alternative Mode (Shopping),MOOE,11058568.39,6,12,2022-12-03,2023-06-01,0.65,2.3,116.0,125.3,7.1,5.7,0,0,0.3274,0,0.0,0.3229,Medium
PROJ-2024-0089,2024,Infrastructure,OPPESM,San Enrique,PCC Construction Corp,1,0.85,Alternative Mode (Shopping),20% NTA,387123.16,12,5,2024-05-13,2025-05-08,0.65,16.6,127.8,135.8,4.7,3.4,0,0,0.4862,0,0.0,0.4227,Medium
PROJ-2020-0090,2020,Non-Infrastructure,PCDO,San Joaquin,Golden West Engineering,1,0.66,Direct Contracting,20% NTA,95428.33,6,7,2020-07-07,2021-01-03,0.6,13.8,105.1,107.5,4.7,6.5,1,95,0.1712,1,0.286,0.7262,High
PROJ-2025-0091,2025,Infrastructure,OLEDIPO,Tigbauan,Iloilo New Agri-Industrial Marketing,1,0.44,Repeat Order,Trust Fund,10000.0,12,3,2025-03-04,2026-02-27,0.55,16.6,132.5,139.2,0.0,0.0,0,0,0.3661,1,0.158,0.3964,Medium
PROJ-2016-0092,2016,Infrastructure,HMO,San Dionisio,Panay Construction Services,1,0.53,Direct Contracting,20% NTA,878699.04,12,4,2016-04-07,2017-04-02,0.7,16.6,94.5,96.0,3.2,2.5,0,0,0.5863,1,0.31,0.4058,High
PROJ-2024-0093,2024,Non-Infrastructure,Provincial Planning Office,San Enrique,JV Pacific Builders,1,0.48,Repeat Order,LDRRMF,1229159.27,6,4,2024-04-13,2024-10-10,0.82,10.5,127.8,135.8,4.7,3.4,0,0,0.375,0,0.0,0.3247,Medium
PROJ-2016-0094,2016,Non-Infrastructure,PCDO,Tigbauan,N/A,0,0.5,Repeat Order,HFEP,10000.0,6,1,2016-01-12,2016-07-10,0.6,2.8,94.5,96.0,3.2,2.5,1,91,0.1005,1,0.232,0.7381,High
PROJ-2021-0095,2021,Infrastructure,HMO,Barotac Viejo,RMKP Construction,1,0.87,Direct Contracting,MOOE,244710.91,12,5,2021-05-13,2022-05-08,0.7,16.6,109.8,114.0,6.2,11.3,0,0,0.4101,0,0.0,0.4486,Medium
PROJ-2018-0096,2018,Non-Infrastructure,PSWDO,Estancia,N/A,0,0.5,Alternative Mode (Shopping),General Fund,682146.4,6,3,2018-03-14,2018-09-10,0.75,7.8,100.0,100.0,2.5,3.2,1,130,0.2361,1,0.166,0.6593,Medium
PROJ-2018-0097,2018,Non-Infrastructure,IPG-HRMDO,Estancia,N/A,0,0.5,Alternative Mode (Shopping),MOOE,745878.59,6,9,2018-09-02,2019-03-01,0.7,8.8,100.0,100.0,2.5,3.2,0,0,0.2692,0,0.0,0.3293,Medium
PROJ-2021-0098,2021,Non-Infrastructure,Provincial Accountant's Office,Passi City,N/A,0,0.5,Alternative Mode (Negotiated),Special Budget,272584.09,6,11,2021-11-02,2022-05-01,0.8,3.8,109.8,114.0,6.2,11.3,0,0,0.1742,0,0.0,0.3647,Medium
PROJ-2018-0099,2018,Non-Infrastructure,OPPESM,Leon,N/A,0,0.5,Alternative Mode (Shopping),MOOE,1699117.05,6,12,2018-12-06,2019-06-04,0.65,2.3,100.0,100.0,2.5,3.2,0,0,0.2105,1,0.071,0.3165,Medium
