quarter,rainfall_mm,typhoon_days,cpi_quarterly,cmrpi_quarterly,context_id
2,533.4,1.8,126.46,135.17,CTX-0066
1,1239.6,4.4,122.28,131.67,CTX-0067
2,789.9,9.3,123.36,129.58,CTX-0068
3,229.4,1.7,124.4,133.79,CTX-0069
4,232.0,0.6,124.37,133.63,CTX-0070
1,132.2,0.6,99.95,100.17,CTX-0071
2,1050.0,2.8,100.8,100.28,CTX-0072
3,975.0,11.2,101.58,101.78,CTX-0073
4,440.7,1.9,102.2,101.81,CTX-0074
1,294.0,2.2,92.54,93.29,CTX-0075
2,158.6,0.3,94.75,95.98,CTX-0076
1,1132.3,8.2,127.58,134.43,CTX-0077
2,630.8,4.0,128.19,135.07,CTX-0078
1,143.9,0.5,93.73,93.86,CTX-0079
2,366.8,2.6,94.47,95.88,CTX-0080
3,1101.6,6.2,93.87,96.47,CTX-0081
4,684.7,6.3,94.48,96.88,CTX-0082
1,1276.5,5.4,132.1,139.52,CTX-0083
2,775.3,5.4,131.66,139.62,CTX-0084
3,219.7,1.3,131.43,140.7,CTX-0085
4,296.9,0.6,134.91,140.54,CTX-0086
1,265.0,0.8,109.36,112.15,CTX-0087
2,1234.2,5.8,109.79,114.95,CTX-0088
3,700.3,7.4,108.76,113.59,CTX-0089
4,118.3,1.5,112.3,115.57,CTX-0090
1,216.6,0.9,97.23,99.33,CTX-0091
2,623.4,7.5,99.98,98.8,CTX-0092
1,871.7,4.5,99.98,99.85,CTX-0093
2,218.2,2.0,99.5,100.8,CTX-0094
1,943.4,3.1,115.6,126.0,CTX-0095
2,1101.2,8.0,116.4,124.2,CTX-0096
1,1079.3,6.1,97.83,100.76,CTX-0097
2,309.8,3.1,99.66,99.72,CTX-0098
1,618.9,5.3,103.28,107.85,CTX-0099
2,131.1,0.6,104.77,107.15,CTX-0100
3,547.8,1.2,105.95,108.21,CTX-0101
4,1292.9,6.4,106.88,107.74,CTX-0102
1,203.5,2.1,126.05,134.24,CTX-0103
2,197.5,0.8,127.3,135.26,CTX-0104
1,669.6,6.7,121.65,129.6,CTX-0105
2,107.3,0.7,122.89,131.36,CTX-0106
3,473.8,2.5,122.8,128.58,CTX-0107
4,1207.3,7.7,123.05,131.69,CTX-0108
1,342.4,3.7,127.49,134.92,CTX-0109
2,136.5,0.4,128.85,135.87,CTX-0110
3,854.5,6.1,128.22,138.66,CTX-0111
4,1015.7,8.0,129.45,135.54,CTX-0112
1,437.8,2.3,103.32,105.64,CTX-0113
2,915.8,7.8,105.87,106.4,CTX-0114
1,377.6,3.5,97.14,98.38,CTX-0115
2,151.9,0.6,99.52,98.95,CTX-0116
1,800.1,3.5,98.24,97.36,CTX-0117
2,864.3,10.8,97.08,98.49,CTX-0118
3,251.9,3.4,98.77,97.17,CTX-0119
4,93.0,0.2,98.56,100.57,CTX-0120
1,279.1,0.6,122.42,127.99,CTX-0121
2,957.4,8.7,124.22,130.62,CTX-0122
1,135.9,0.8,101.1,102.92,CTX-0123
2,372.4,2.3,101.87,102.72,CTX-0124
1,119.1,0.5,102.43,102.61,CTX-0125
2,460.3,2.5,102.53,101.53,CTX-0126
1,134.6,0.5,116.23,125.94,CTX-0127
2,704.2,4.6,115.72,124.8,CTX-0128
1,1336.5,6.8,94.4,96.2,CTX-0129
2,993.7,5.3,94.08,95.38,CTX-0130
1,421.8,2.0,107.61,112.82,CTX-0131
2,1305.9,5.0,108.65,112.32,CTX-0132
1,158.4,1.9,100.82,97.77,CTX-0133
2,185.9,0.7,99.97,98.95,CTX-0134
3,1164.4,8.1,99.67,100.54,CTX-0135
4,807.0,9.4,100.59,100.59,CTX-0136
1,1078.4,8.6,103.85,107.13,CTX-0137
2,295.0,3.7,103.37,108.57,CTX-0138
3,133.4,0.4,104.47,108.51,CTX-0139
4,790.0,5.8,106.07,106.48,CTX-0140
1,126.2,0.4,131.42,137.82,CTX-0141
2,848.8,5.6,131.42,137.92,CTX-0142
1,200.9,1.2,95.54,94.76,CTX-0143
2,285.7,0.9,94.43,94.16,CTX-0144
1,1073.1,6.6,126.25,131.98,CTX-0145
2,918.6,7.2,129.16,135.81,CTX-0146
1,981.0,7.5,104.77,109.08,CTX-0147
2,194.3,1.7,104.28,107.2,CTX-0148
1,909.5,3.3,131.63,138.5,CTX-0149
2,1085.4,3.7,133.48,137.24,CTX-0150
3,386.3,3.3,133.02,138.94,CTX-0151
4,125.8,0.5,133.71,139.85,CTX-0152
1,1295.7,4.6,110.86,112.88,CTX-0153
2,137.6,2.1,108.91,114.65,CTX-0154
3,273.3,0.7,109.88,112.92,CTX-0155
4,958.1,5.2,110.21,114.85,CTX-0156
1,311.2,1.6,121.75,131.71,CTX-0157
2,1299.0,9.5,122.48,129.39,CTX-0158
3,620.6,6.1,124.47,132.03,CTX-0159
4,162.4,1.1,124.34,131.53,CTX-0160
1,1034.1,7.5,127.44,136.55,CTX-0161
2,827.0,3.7,127.89,135.19,CTX-0162
3,202.1,1.4,126.97,136.87,CTX-0163
4,236.0,0.9,128.76,137.69,CTX-0164
1,1142.7,9.0,114.22,124.67,CTX-0165
2,526.4,6.1,114.8,125.46,CTX-0166
1,1107.2,6.6,131.49,136.5,CTX-0167
2,847.0,7.0,132.43,138.51,CTX-0168
1,439.1,3.1,123.15,130.74,CTX-0169
2,1267.9,7.9,123.71,133.59,CTX-0170
3,664.9,4.7,124.73,133.64,CTX-0171
4,125.5,0.3,123.84,130.92,CTX-0172
1,864.1,4.6,104.84,106.07,CTX-0173
2,933.7,6.0,104.47,108.49,CTX-0174
1,365.7,2.8,128.52,134.74,CTX-0175
2,994.9,9.4,127.84,134.53,CTX-0176
3,423.7,5.7,128.29,136.96,CTX-0177
4,125.6,0.7,128.37,137.42,CTX-0178
1,191.8,0.8,99.78,99.81,CTX-0179
2,619.2,5.7,99.68,100.6,CTX-0180
1,139.8,0.6,98.17,96.89,CTX-0181
2,877.8,4.4,96.48,97.06,CTX-0182
1,227.0,1.5,92.34,94.9,CTX-0183
2,233.2,0.5,93.8,93.87,CTX-0184
1,130.9,0.4,115.05,124.5,CTX-0185
2,405.6,2.5,116.81,125.51,CTX-0186
1,384.7,3.2,101.75,100.92,CTX-0187
2,141.3,0.3,102.55,102.47,CTX-0188
1,489.5,1.8,93.63,96.37,CTX-0189
2,1287.9,6.4,95.05,96.1,CTX-0190
3,589.2,4.8,94.59,96.0,CTX-0191
4,96.0,0.6,95.06,96.68,CTX-0192
1,518.9,3.7,115.53,123.35,CTX-0193
2,945.4,3.5,116.18,127.02,CTX-0194
3,753.2,5.4,113.59,123.79,CTX-0195
4,120.4,0.6,118.27,128.0,CTX-0196
1,1136.4,9.1,109.21,112.61,CTX-0197
2,887.8,8.0,110.63,114.58,CTX-0198
3,182.5,1.1,109.52,114.6,CTX-0199
4,141.1,0.7,110.13,116.42,CTX-0200
1,470.9,2.9,101.32,102.88,CTX-0201
2,1414.6,8.6,101.69,101.5,CTX-0202
1,934.1,6.0,131.99,138.38,CTX-0203
2,514.6,7.9,133.0,138.67,CTX-0204
1,1308.5,5.5,127.48,135.29,CTX-0205
2,886.8,7.1,127.62,134.19,CTX-0206
1,1411.5,8.9,114.87,124.44,CTX-0207
2,841.3,5.7,116.74,124.97,CTX-0208
1,941.1,6.6,99.74,99.44,CTX-0209
2,807.1,6.8,99.12,101.83,CTX-0210
3,187.3,1.3,99.04,100.64,CTX-0211
4,301.3,1.0,101.19,101.03,CTX-0212
1,226.8,1.1,125.88,136.83,CTX-0213
2,997.1,6.7,128.31,136.57,CTX-0214
1,133.1,0.6,126.17,134.08,CTX-0215
2,857.4,3.7,128.8,136.04,CTX-0216
3,867.0,7.7,127.49,134.77,CTX-0217
4,419.6,2.3,128.84,137.17,CTX-0218
1,461.1,1.8,104.06,107.12,CTX-0219
2,1230.7,12.6,105.05,103.71,CTX-0220
1,1353.1,9.6,122.72,131.82,CTX-0221
2,509.4,5.0,122.83,130.3,CTX-0222
1,225.0,2.4,126.95,134.55,CTX-0223
2,164.2,0.9,127.8,135.71,CTX-0224
1,212.6,0.9,105.58,105.96,CTX-0225
2,975.0,9.0,104.96,107.35,CTX-0226
1,373.0,2.3,127.96,135.46,CTX-0227
2,102.8,0.6,129.22,134.33,CTX-0228
3,724.8,5.8,129.87,136.84,CTX-0229
4,1181.7,8.8,128.83,138.09,CTX-0230
1,936.6,4.3,98.83,98.84,CTX-0231
2,724.8,6.9,99.01,99.46,CTX-0232
1,731.7,7.1,114.92,123.52,CTX-0233
2,220.3,1.6,116.85,123.2,CTX-0234
1,535.2,1.9,95.71,99.13,CTX-0235
2,1119.4,5.5,97.74,98.52,CTX-0236
1,947.0,9.3,122.8,131.2,CTX-0237
2,638.8,4.6,123.29,129.01,CTX-0238
3,113.3,0.6,123.01,131.49,CTX-0239
4,304.3,2.9,124.58,129.67,CTX-0240
1,721.1,3.9,116.47,125.35,CTX-0241
2,828.9,13.8,115.03,123.48,CTX-0242
3,372.2,3.2,116.65,124.91,CTX-0243
4,110.1,0.6,117.77,123.39,CTX-0244
1,716.0,12.0,114.16,122.87,CTX-0245
2,202.4,1.4,115.26,127.22,CTX-0246
1,980.0,2.8,97.3,99.22,CTX-0247
2,1366.9,5.5,96.9,98.42,CTX-0248
3,420.6,1.9,98.75,98.38,CTX-0249
4,109.4,0.6,98.73,98.14,CTX-0250
1,994.2,11.2,115.9,123.36,CTX-0251
2,673.9,5.6,116.12,125.59,CTX-0252
1,1029.1,8.5,93.87,94.77,CTX-0253
2,743.9,7.1,93.37,96.66,CTX-0254
1,1271.5,6.7,113.33,125.09,CTX-0255
2,509.0,5.2,115.28,124.59,CTX-0256
1,961.0,7.7,127.21,135.7,CTX-0257
2,992.0,3.8,128.45,135.47,CTX-0258
3,160.5,1.9,127.98,135.99,CTX-0259
4,267.5,0.6,129.18,134.84,CTX-0260
1,1100.6,5.5,97.08,96.94,CTX-0261
2,714.2,4.2,98.18,98.8,CTX-0262
3,102.6,0.6,96.92,97.99,CTX-0263
4,505.7,2.9,98.49,99.54,CTX-0264
1,474.7,2.3,109.01,113.47,CTX-0265
2,1198.1,10.1,108.55,112.42,CTX-0266
1,875.6,5.4,132.22,137.58,CTX-0267
2,298.5,3.3,132.63,138.69,CTX-0268
1,130.7,0.6,100.27,101.38,CTX-0269
2,592.2,2.1,103.2,102.28,CTX-0270
1,237.4,1.5,132.19,139.59,CTX-0271
2,182.0,1.0,131.3,139.17,CTX-0272
1,909.1,8.6,109.48,114.13,CTX-0273
2,757.3,8.9,108.69,115.33,CTX-0274
3,205.6,1.2,110.5,114.61,CTX-0275
4,217.5,0.7,110.54,114.1,CTX-0276
1,1123.5,6.7,131.39,137.03,CTX-0277
2,743.9,9.5,132.13,138.56,CTX-0278
3,221.9,2.1,132.12,140.25,CTX-0279
4,187.9,1.0,133.47,139.35,CTX-0280
1,683.9,4.9,97.51,101.13,CTX-0281
2,152.4,0.7,98.22,97.97,CTX-0282
1,480.3,2.1,115.56,123.85,CTX-0283
2,1408.4,7.0,113.44,127.37,CTX-0284
1,957.4,11.2,108.18,115.79,CTX-0285
2,293.3,1.9,109.65,112.99,CTX-0286
1,1099.1,6.7,122.32,127.61,CTX-0287
2,422.2,3.3,123.23,130.43,CTX-0288
1,601.9,2.6,115.79,124.39,CTX-0289
2,1176.7,10.2,115.77,124.97,CTX-0290
1,817.1,8.8,107.56,113.3,CTX-0291
2,138.6,2.4,109.52,114.04,CTX-0292
1,283.8,0.8,127.23,134.5,CTX-0293
2,838.6,7.9,126.29,134.77,CTX-0294
3,780.7,5.9,127.81,135.53,CTX-0295
4,235.5,1.5,126.64,136.55,CTX-0296
1,1054.6,4.5,98.84,98.19,CTX-0297
2,335.3,2.4,100.15,100.53,CTX-0298
1,517.9,2.7,132.01,141.18,CTX-0299
2,951.0,6.5,131.37,138.82,CTX-0300
3,693.2,6.1,134.24,140.63,CTX-0301
4,92.3,0.5,132.38,140.11,CTX-0302
1,333.0,3.9,115.35,124.28,CTX-0303
2,149.7,0.4,114.64,125.38,CTX-0304
1,568.4,2.4,98.05,96.45,CTX-0305
2,119.0,0.6,98.25,98.57,CTX-0306
1,1206.4,9.6,109.37,112.77,CTX-0307
2,504.1,3.1,109.82,111.79,CTX-0308
1,1260.0,9.2,127.77,133.41,CTX-0309
2,552.0,4.6,128.24,135.54,CTX-0310
1,339.5,3.7,92.74,95.55,CTX-0311
2,158.8,0.4,95.07,96.39,CTX-0312
1,913.9,5.7,102.34,101.68,CTX-0313
2,220.5,1.2,102.36,102.81,CTX-0314
1,777.2,10.0,122.36,129.53,CTX-0315
2,156.5,2.2,122.4,131.75,CTX-0316
3,268.2,1.1,122.25,131.01,CTX-0317
4,1369.8,9.3,122.98,131.45,CTX-0318
1,803.7,8.4,127.02,135.25,CTX-0319
2,187.1,1.3,127.6,135.2,CTX-0320
1,104.3,1.1,96.83,97.66,CTX-0321
2,216.8,0.7,97.39,97.79,CTX-0322
1,101.2,0.3,93.51,95.58,CTX-0323
2,865.8,5.2,94.71,96.44,CTX-0324
3,954.2,9.5,95.08,96.68,CTX-0325
4,418.1,3.9,95.34,97.96,CTX-0326
1,874.8,7.8,96.23,98.5,CTX-0327
2,212.0,1.5,97.51,97.14,CTX-0328
1,122.9,0.3,130.65,136.83,CTX-0329
2,1122.6,6.0,132.36,139.26,CTX-0330
1,957.7,8.8,131.29,138.37,CTX-0331
2,481.7,3.1,133.26,138.23,CTX-0332
3,118.8,0.7,133.2,139.32,CTX-0333
4,867.1,5.7,132.95,140.29,CTX-0334
1,306.2,3.6,97.37,97.93,CTX-0335
2,1067.9,6.6,96.9,96.63,CTX-0336
1,306.1,2.1,131.27,138.18,CTX-0337
2,110.6,0.6,132.51,137.67,CTX-0338
1,903.7,5.6,115.96,124.99,CTX-0339
2,1152.8,10.1,115.69,124.02,CTX-0340
1,1315.0,7.1,132.88,138.26,CTX-0341
2,729.4,9.2,131.57,140.16,CTX-0342
1,122.5,0.4,105.89,105.96,CTX-0343
2,740.6,4.3,104.67,106.05,CTX-0344
3,881.4,10.2,105.12,109.54,CTX-0345
4,282.4,3.9,106.27,109.67,CTX-0346
1,757.2,8.1,126.31,136.02,CTX-0347
2,128.8,0.7,128.62,135.68,CTX-0348
3,450.6,2.1,127.88,136.89,CTX-0349
4,1295.4,10.2,127.14,136.9,CTX-0350
1,562.8,1.3,104.35,106.12,CTX-0351
2,1081.8,10.3,104.14,108.11,CTX-0352
3,495.4,3.1,105.3,105.65,CTX-0353
4,143.0,0.6,104.98,107.92,CTX-0354
1,138.7,0.7,98.75,98.74,CTX-0355
2,415.9,2.2,98.35,99.89,CTX-0356
1,372.5,2.6,97.93,96.81,CTX-0357
2,137.5,0.5,99.15,98.3,CTX-0358
1,186.7,0.8,127.24,134.34,CTX-0359
2,1387.0,7.4,126.01,136.97,CTX-0360
1,585.1,6.8,126.83,133.42,CTX-0361
2,133.2,0.9,128.46,134.93,CTX-0362
1,1163.0,4.9,121.84,130.07,CTX-0363
2,427.2,2.9,121.73,131.19,CTX-0364
1,1068.0,7.9,131.93,137.01,CTX-0365
2,910.6,4.1,131.82,138.64,CTX-0366
3,181.5,1.4,133.48,138.65,CTX-0367
4,252.1,1.0,133.05,138.51,CTX-0368
1,520.0,1.2,96.73,97.69,CTX-0369
2,891.7,5.7,96.55,96.93,CTX-0370
1,840.4,3.8,131.19,138.64,CTX-0371
2,358.3,2.6,131.56,137.06,CTX-0372
1,774.0,5.3,104.03,103.06,CTX-0373
2,796.2,4.9,105.48,107.75,CTX-0374
1,194.6,2.3,121.86,130.16,CTX-0375
2,233.0,0.7,122.32,131.66,CTX-0376
1,929.9,9.8,94.18,95.45,CTX-0377
2,529.2,4.4,95.69,96.78,CTX-0378
1,208.7,1.0,127.4,135.98,CTX-0379
2,1338.2,8.3,126.48,136.88,CTX-0380
3,981.4,8.5,127.74,136.43,CTX-0381
4,140.4,1.4,128.53,135.95,CTX-0382
1,485.8,2.8,120.96,130.74,CTX-0383
2,1113.1,10.3,123.19,131.01,CTX-0384
3,603.4,6.4,124.76,132.5,CTX-0385
4,107.4,0.4,123.78,131.96,CTX-0386
1,567.8,1.9,99.46,102.43,CTX-0387
2,1149.8,10.6,101.39,98.39,CTX-0388
1,560.0,3.6,122.39,129.48,CTX-0389
2,1382.0,8.0,123.26,130.82,CTX-0390
1,497.0,2.5,122.33,129.99,CTX-0391
2,838.9,8.9,122.95,130.34,CTX-0392
3,543.5,5.6,122.05,130.81,CTX-0393
4,126.9,0.7,123.81,131.29,CTX-0394
1,855.8,10.3,93.21,92.96,CTX-0395
2,345.1,2.7,95.83,93.88,CTX-0396
1,627.2,4.6,125.75,132.04,CTX-0397
2,1109.7,9.7,129.08,132.94,CTX-0398
1,995.8,10.7,97.95,98.43,CTX-0399
2,196.0,2.1,97.78,97.93,CTX-0400
1,1197.0,6.4,121.29,129.96,CTX-0401
2,630.4,6.4,122.37,130.11,CTX-0402
3,120.0,0.8,123.81,131.8,CTX-0403
4,499.2,2.3,123.48,131.88,CTX-0404
1,449.4,3.1,126.34,136.01,CTX-0405
2,128.0,0.5,126.7,135.41,CTX-0406
1,227.4,0.8,131.52,137.97,CTX-0407
2,1122.5,7.0,131.68,139.92,CTX-0408
3,854.4,4.8,133.84,139.6,CTX-0409
4,209.5,0.7,133.61,139.18,CTX-0410
1,147.0,0.4,127.87,135.57,CTX-0411
2,778.2,4.5,127.17,135.73,CTX-0412
3,979.3,7.7,127.19,136.28,CTX-0413
4,363.6,2.4,128.44,136.04,CTX-0414
1,283.4,2.6,110.15,114.47,CTX-0415
2,168.5,0.6,108.82,113.7,CTX-0416
1,423.2,4.6,127.31,136.52,CTX-0417
2,96.0,0.5,128.17,135.59,CTX-0418
1,1001.7,6.9,122.23,128.98,CTX-0419
2,861.5,7.6,122.22,130.78,CTX-0420
1,272.3,1.2,109.05,111.48,CTX-0421
2,1193.8,4.9,110.46,113.8,CTX-0422
1,276.3,1.9,97.11,97.47,CTX-0423
2,113.1,0.5,98.17,98.82,CTX-0424
1,330.8,4.4,104.75,105.79,CTX-0425
2,119.4,0.7,104.43,107.28,CTX-0426
1,236.8,0.8,99.97,98.53,CTX-0427
2,968.3,7.5,100.1,99.68,CTX-0428
1,127.1,1.6,103.56,107.07,CTX-0429
2,216.9,0.8,105.63,108.41,CTX-0430
3,1222.4,11.2,104.74,107.66,CTX-0431
4,903.7,7.5,106.0,109.35,CTX-0432
1,718.7,4.9,108.53,113.08,CTX-0433
2,203.2,1.9,109.05,114.88,CTX-0434
1,844.2,6.5,100.7,99.61,CTX-0435
2,160.5,2.3,100.41,99.73,CTX-0436
1,630.6,3.4,96.63,96.78,CTX-0437
2,138.9,0.5,96.98,99.89,CTX-0438
3,447.4,2.4,96.3,98.5,CTX-0439
4,1020.7,7.7,99.02,98.65,CTX-0440
1,536.9,5.6,101.7,102.83,CTX-0441
2,110.3,0.6,102.35,102.8,CTX-0442
1,641.6,5.4,121.93,128.76,CTX-0443
2,179.1,1.0,122.72,131.47,CTX-0444
1,167.0,1.1,104.17,105.73,CTX-0445
2,1301.8,3.9,104.11,105.92,CTX-0446
3,1077.8,8.3,104.79,109.32,CTX-0447
4,262.4,1.8,104.46,108.01,CTX-0448
1,164.2,0.8,101.75,108.18,CTX-0449
2,225.4,0.6,105.37,106.39,CTX-0450
1,100.2,0.6,131.34,139.7,CTX-0451
2,431.9,2.4,131.92,138.51,CTX-0452
1,1005.3,9.2,93.54,93.04,CTX-0453
2,214.5,1.3,93.92,96.94,CTX-0454
3,240.2,0.8,95.34,97.17,CTX-0455
4,1223.7,7.4,96.37,96.27,CTX-0456
1,538.3,3.8,102.98,102.32,CTX-0457
2,74.2,0.5,101.51,101.45,CTX-0458
1,363.4,4.2,127.6,135.26,CTX-0459
2,119.9,0.4,126.17,135.4,CTX-0460
1,1122.6,11.9,132.44,139.13,CTX-0461
2,368.5,2.7,130.88,137.05,CTX-0462
1,308.1,2.3,103.33,107.94,CTX-0463
2,118.3,0.5,105.39,108.0,CTX-0464
1,619.0,4.4,102.9,107.81,CTX-0465
2,155.4,0.6,105.76,107.78,CTX-0466
1,179.4,1.1,100.22,100.07,CTX-0467
2,1179.4,5.2,99.8,97.92,CTX-0468
3,955.5,6.9,100.04,101.37,CTX-0469
4,173.0,1.4,100.62,101.72,CTX-0470
1,274.1,0.9,105.23,105.41,CTX-0471
2,1031.4,5.2,104.74,105.22,CTX-0472
1,970.7,4.6,127.39,134.49,CTX-0473
2,993.6,3.9,128.62,134.73,CTX-0474
1,1103.2,7.4,99.24,100.3,CTX-0475
2,684.1,9.1,98.26,98.98,CTX-0476
1,128.7,0.6,121.89,130.16,CTX-0477
2,1093.8,5.8,123.93,130.78,CTX-0478
3,1006.4,6.9,122.35,130.58,CTX-0479
4,339.9,2.9,123.63,131.75,CTX-0480
1,830.9,7.7,123.66,130.18,CTX-0481
2,120.4,0.7,122.54,128.44,CTX-0482
3,538.0,2.6,122.91,131.26,CTX-0483
4,669.5,10.6,123.87,131.44,CTX-0484
1,140.0,0.9,94.2,95.06,CTX-0485
2,409.2,2.2,95.67,95.99,CTX-0486
1,170.5,1.1,92.99,96.52,CTX-0487
2,1213.4,6.2,94.21,97.36,CTX-0488
1,786.1,4.5,121.97,132.09,CTX-0489
2,989.3,4.0,123.78,129.82,CTX-0490
1,710.1,4.1,96.91,98.86,CTX-0491
2,157.1,1.9,97.3,99.0,CTX-0492
1,121.2,0.9,93.74,93.91,CTX-0493
2,934.4,5.0,94.16,96.13,CTX-0494
3,1020.4,7.6,94.25,95.42,CTX-0495
4,350.9,4.3,96.08,97.91,CTX-0496
1,554.8,2.9,103.12,101.84,CTX-0497
2,1298.6,7.1,102.32,99.29,CTX-0498
1,229.0,0.5,101.27,101.48,CTX-0499
2,982.9,5.4,101.56,102.52,CTX-0500
3,937.3,5.3,102.13,104.32,CTX-0501
4,217.9,2.0,103.67,103.91,CTX-0502
1,300.8,2.5,99.35,98.65,CTX-0503
2,101.0,0.5,99.26,98.42,CTX-0504
3,1044.1,4.7,100.3,99.78,CTX-0505
4,1109.0,10.2,101.43,100.34,CTX-0506
1,221.8,0.8,122.48,130.49,CTX-0507
2,868.5,8.5,123.04,132.63,CTX-0508
3,813.7,6.3,123.45,130.54,CTX-0509
4,204.8,1.0,124.63,134.22,CTX-0510
1,128.5,0.3,101.07,102.71,CTX-0511
2,769.3,6.7,100.85,100.3,CTX-0512
3,1205.1,7.2,102.01,105.53,CTX-0513
4,475.9,3.3,104.09,102.73,CTX-0514
1,283.4,4.0,108.49,112.28,CTX-0515
2,150.0,0.4,108.97,112.89,CTX-0516
1,150.3,0.7,99.29,100.67,CTX-0517
2,931.3,4.1,100.7,99.58,CTX-0518
1,1107.2,8.6,103.82,107.59,CTX-0519
2,717.6,9.2,103.53,106.56,CTX-0520
3,203.5,1.8,105.76,107.45,CTX-0521
4,216.2,0.9,104.85,108.28,CTX-0522
1,770.9,10.9,104.48,105.62,CTX-0523
2,201.3,0.6,104.03,106.58,CTX-0524
1,1099.7,8.6,94.73,95.9,CTX-0525
2,659.1,2.8,93.42,96.01,CTX-0526
3,126.5,0.9,93.64,98.19,CTX-0527
4,549.7,2.3,95.6,97.95,CTX-0528
1,1048.5,6.4,93.59,94.5,CTX-0529
2,607.9,5.6,94.14,95.16,CTX-0530
1,268.7,1.1,125.32,134.29,CTX-0531
2,1079.9,9.6,128.78,135.8,CTX-0532
1,121.0,0.6,94.81,95.0,CTX-0533
2,781.4,3.7,92.1,95.6,CTX-0534
1,500.5,2.1,99.4,97.87,CTX-0535
2,977.5,12.9,98.41,99.15,CTX-0536
3,541.4,5.1,101.85,99.88,CTX-0537
4,71.6,0.7,102.39,100.93,CTX-0538
1,125.9,0.7,95.78,98.01,CTX-0539
2,915.9,3.2,98.39,98.43,CTX-0540
1,126.7,0.5,116.43,122.1,CTX-0541
2,925.0,2.7,115.23,124.04,CTX-0542
1,123.3,0.8,101.52,100.08,CTX-0543
2,433.7,1.7,101.73,102.15,CTX-0544
1,523.3,1.2,108.84,116.21,CTX-0545
2,849.4,9.2,109.6,113.45,CTX-0546
1,142.8,0.5,97.7,97.67,CTX-0547
2,755.2,3.0,96.6,98.02,CTX-0548
1,142.1,0.6,91.88,94.51,CTX-0549
2,847.7,2.9,95.01,96.89,CTX-0550
1,302.2,3.7,100.21,102.77,CTX-0551
2,135.6,0.6,101.93,104.65,CTX-0552
