project_id,year,project_type,implementing_agency,location,contractor,has_contractor,contractor_reliability,procurement_mode,funding_source,approved_budget,planned_duration_months,start_month,start_date,planned_end_date,agency_capacity,typhoon_exposure,cpi_at_start,cmrpi_at_start,cpi_change,cmrpi_change,is_delayed,delay_days,delay_probability,is_cost_overrun,cost_overrun_pct,overrun_probability,risk_category
PROJ-2017-0025,2017,Infrastructure,IPG/HMO,Janiuay,Metro Iloilo Construction,1,0.46,Direct Contracting,LDRRMF,3141157.73,12,11,2017-11-11,2018-11-06,0.67,16.6,97.7,98.5,2.3,1.5,1,216,0.8836,0,0.0,0.8987,High
PROJ-2016-0026,2016,Non-Infrastructure,Provincial Agriculture Office,Guimbal,N/A,0,0.5,Repeat Order,20% NTA,575468.58,6,6,2016-06-10,2016-12-07,0.62,14.3,94.5,96.0,3.2,2.5,0,0,0.1909,1,0.296,0.2535,Low
PROJ-2024-0027,2024,Non-Infrastructure,PSWDO,Pavia,Conquest Construction Supply,1,0.79,Repeat Order,MOOE,1157782.11,6,2,2024-02-04,2024-08-02,0.75,5.0,127.8,135.8,4.7,3.4,0,0,0.0621,1,0.218,0.2642,Low
PROJ-2023-0028,2023,Non-Infrastructure,Provincial Accountant's Office,Pototan,PCC Construction Corp,1,0.85,Repeat Order,SEF,826724.03,6,2,2023-02-01,2023-07-31,0.8,5.0,123.1,131.0,4.7,4.8,0,0,0.0439,0,0.0,0.245,Low
PROJ-2022-0029,2022,Infrastructure,IPG/HMO,Calinog,Island Builders Corporation,1,0.61,Repeat Order,LDRRMF,908435.38,12,7,2022-07-14,2023-07-09,0.67,16.6,116.0,125.3,7.1,5.7,1,58,0.7788,1,0.198,0.8609,High
PROJ-2018-0030,2018,Infrastructure,PCDO,Alimodian,PCC Construction Corp,1,0.85,Direct Contracting,LDRRMF,2220598.51,12,1,2018-01-08,2019-01-03,0.6,16.6,100.0,100.0,2.5,3.2,0,0,0.723,0,0.0,0.4013,Medium
PROJ-2024-0031,2024,Non-Infrastructure,Provincial Planning Office,San Dionisio,N/A,0,0.5,Alternative Mode (Negotiated),20% NTA,3711857.81,6,5,2024-05-05,2024-11-01,0.82,12.8,127.8,135.8,4.7,3.4,1,128,0.3992,1,0.245,0.8285,Medium
PROJ-2020-0032,2020,Non-Infrastructure,Provincial Accountant's Office,Igbaras,N/A,0,0.5,Alternative Mode (Negotiated),GAD Fund,4183277.94,6,12,2020-12-04,2021-06-02,0.8,2.3,105.1,107.5,4.7,6.5,0,0,0.1703,0,0.0,0.2606,Low
PROJ-2019-0033,2019,Non-Infrastructure,IPG-HRMDO,Leon,N/A,0,0.5,Repeat Order,GAD Fund,734948.43,6,10,2019-10-11,2020-04-08,0.7,6.1,102.5,103.2,2.6,4.3,0,0,0.1031,0,0.0,0.2579,Low
PROJ-2024-0034,2024,Infrastructure,Provincial Planning Office,Banate,Orchard Valley Enterprises,1,0.77,Alternative Mode (Shopping),20% NTA,40458386.19,12,3,2024-03-07,2025-03-02,0.82,16.6,127.8,135.8,4.7,3.4,1,285,0.9227,1,0.081,0.9228,Critical
PROJ-2016-0035,2016,Non-Infrastructure,OLEDIPO,Zarraga,N/A,0,0.5,Alternative Mode (Shopping),General Fund,510715.74,6,11,2016-11-09,2017-05-08,0.55,3.8,94.5,96.0,3.2,2.5,0,0,0.0693,0,0.0,0.2337,Low
PROJ-2020-0036,2020,Non-Infrastructure,Provincial Accountant's Office,Alimodian,N/A,0,0.5,Alternative Mode (Negotiated),Supplemental Budget,5942640.65,6,4,2020-04-13,2020-10-10,0.8,10.5,105.1,107.5,4.7,6.5,1,72,0.4788,1,0.108,0.7925,Medium
PROJ-2021-0037,2021,Infrastructure,Provincial Planning Office,Batad,Orchard Valley Enterprises,1,0.77,Repeat Order,Special Budget,2750545.79,12,7,2021-07-02,2022-06-27,0.82,16.6,109.8,114.0,6.2,11.3,1,98,0.7915,1,0.239,0.873,High
PROJ-2022-0038,2022,Infrastructure,HMO,Lambunao,Iloilo New Agri-Industrial Marketing,1,0.44,Competitive Bidding,LDRRMF,1310964.79,12,3,2022-03-08,2023-03-03,0.7,16.6,116.0,125.3,7.1,5.7,1,286,0.8423,0,0.0,0.9343,High
PROJ-2021-0039,2021,Non-Infrastructure,PHO,Lemery,N/A,0,0.5,Direct Contracting,MOOE,1274981.69,6,4,2021-04-11,2021-10-08,0.72,10.5,109.8,114.0,6.2,11.3,0,0,0.284,0,0.0,0.2631,Low
PROJ-2025-0040,2025,Infrastructure,Provincial Agriculture Office,Tubungan,Visayan Construction Group,1,0.52,Alternative Mode (Negotiated),SEF,277802.28,12,1,2025-01-14,2026-01-09,0.62,16.6,132.5,139.2,0.0,0.0,1,259,0.5161,0,0.0,0.8975,Medium
PROJ-2024-0041,2024,Non-Infrastructure,IPG-HRMDO,Tigbauan,N/A,0,0.5,Alternative Mode (Shopping),Trust Fund,1814516.09,6,3,2024-03-05,2024-09-01,0.7,7.8,127.8,135.8,4.7,3.4,0,0,0.2308,0,0.0,0.2327,Low
PROJ-2019-0042,2019,Infrastructure,PGENRO,Banate,Juantong Agri-Ventures Trading,1,0.57,Alternative Mode (Negotiated),Supplemental Budget,440308.8,12,2,2019-02-10,2020-02-05,0.68,16.6,102.5,103.2,2.6,4.3,1,225,0.6299,1,0.088,0.9177,High
PROJ-2023-0043,2023,Non-Infrastructure,PCDO,Estancia,Conquest Construction Supply,1,0.79,Competitive Bidding,Trust Fund,696450.51,6,9,2023-09-08,2024-03-06,0.6,8.8,123.1,131.0,4.7,4.8,0,0,0.1069,1,0.247,0.2537,Low
PROJ-2019-0044,2019,Non-Infrastructure,Provincial Planning Office,Dingle,N/A,0,0.5,Direct Contracting,SEF,677675.88,6,6,2019-06-03,2019-11-30,0.82,14.3,102.5,103.2,2.6,4.3,0,0,0.1367,0,0.0,0.2493,Low
PROJ-2025-0045,2025,Non-Infrastructure,Provincial Planning Office,Barotac Nuevo,N/A,0,0.5,Competitive Bidding,SEF,5312844.81,6,3,2025-03-02,2025-08-29,0.82,7.8,132.5,139.2,0.0,0.0,0,0,0.2336,1,0.253,0.1983,Low
PROJ-2023-0046,2023,Non-Infrastructure,Provincial Planning Office,Leganes,N/A,0,0.5,Alternative Mode (Shopping),MOOE,1022860.34,6,4,2023-04-05,2023-10-02,0.82,10.5,123.1,131.0,4.7,4.8,1,113,0.2219,0,0.0,0.821,Medium
PROJ-2022-0047,2022,Infrastructure,Provincial Engineering Office,Banate,Western Visayas Builders Inc.,1,0.46,Repeat Order,Special Budget,635925.03,12,11,2022-11-14,2023-11-09,0.73,16.6,116.0,125.3,7.1,5.7,0,0,0.7629,1,0.323,0.4285,Medium
PROJ-2020-0048,2020,Non-Infrastructure,PSWDO,San Enrique,Dreamer's Valley Construction,1,0.36,Competitive Bidding,GAD Fund,80000000.0,6,8,2020-08-05,2021-02-01,0.75,11.6,105.1,107.5,4.7,6.5,0,0,0.7096,1,0.167,0.2498,Medium
PROJ-2017-0049,2017,Non-Infrastructure,OPPESM,Batad,N/A,0,0.5,Alternative Mode (Negotiated),Special Budget,6136130.88,6,4,2017-04-06,2017-10-03,0.65,10.5,97.7,98.5,2.3,1.5,0,0,0.465,0,0.0,0.2195,Medium
PROJ-2020-0050,2020,Non-Infrastructure,PGENRO,Carles,N/A,0,0.5,Direct Contracting,Trust Fund,80000000.0,6,4,2020-04-03,2020-09-30,0.68,10.5,105.1,107.5,4.7,6.5,1,126,0.666,1,0.303,0.8589,High
