project_id,quarter,total_quarters,planned_progress_pct,actual_progress_pct,slippage_pct,planned_expenditure,actual_expenditure,expenditure_ratio,issues_count,rainfall_mm,typhoon_days,cpi_quarterly,cmrpi_quarterly
PROJ-2022-0036,1,2,50.0,48.36,1.64,38969.88,38285.21,0.4912,2,943.4,3.1,115.6,126.0
PROJ-2022-0036,2,2,100.0,100.0,0.0,77939.76,71612.16,0.9188,4,1101.2,8.0,116.4,124.2
PROJ-2018-0037,1,2,50.0,48.23,1.77,870524.92,1022597.94,0.5873,6,1079.3,6.1,97.83,100.76
PROJ-2018-0037,2,2,100.0,100.0,0.0,1741049.84,2342649.8,1.3455,1,309.8,3.1,99.66,99.72
PROJ-2020-0038,1,4,25.0,20.28,4.72,3892.36,3769.4,0.2421,6,618.9,5.3,103.28,107.85
PROJ-2020-0038,2,4,50.0,51.45,-1.45,7784.71,7329.63,0.4708,3,131.1,0.6,104.77,107.15
PROJ-2020-0038,3,4,75.0,86.1,-11.1,11677.07,11231.16,0.7214,0,547.8,1.2,105.95,108.21
PROJ-2020-0038,4,4,100.0,88.57,11.43,15569.42,16468.14,1.0577,2,1292.9,6.4,106.88,107.74
PROJ-2024-0039,1,2,50.0,55.22,-5.22,56807.92,53873.86,0.4742,3,203.5,2.1,126.05,134.24
PROJ-2024-0039,2,2,100.0,100.0,0.0,113615.83,111379.71,0.9803,2,197.5,0.8,127.3,135.26
PROJ-2023-0040,1,4,25.0,42.6,-17.6,22050.79,23899.97,0.271,6,669.6,6.7,121.65,129.6
PROJ-2023-0040,2,4,50.0,56.68,-6.68,44101.59,50604.7,0.5737,3,107.3,0.7,122.89,131.36
PROJ-2023-0040,3,4,75.0,56.68,18.32,66152.38,74416.15,0.8437,1,473.8,2.5,122.8,128.58
PROJ-2023-0040,4,4,100.0,89.46,10.54,88203.18,100721.67,1.1419,5,1207.3,7.7,123.05,131.69
PROJ-2024-0041,1,4,25.0,40.13,-15.13,26029.21,25677.3,0.2466,1,342.4,3.7,127.49,134.92
PROJ-2024-0041,2,4,50.0,47.46,2.54,52058.43,58408.38,0.561,1,136.5,0.4,128.85,135.87
PROJ-2024-0041,3,4,75.0,65.6,9.4,78087.64,88339.82,0.8485,5,854.5,6.1,128.22,138.66
PROJ-2024-0041,4,4,100.0,100.0,0.0,104116.85,126548.57,1.2154,5,1015.7,8.0,129.45,135.54
PROJ-2020-0042,1,2,50.0,49.47,0.53,38577.3,34050.89,0.4413,1,437.8,2.3,103.32,105.64
PROJ-2020-0042,2,2,100.0,80.65,19.35,77154.6,74457.35,0.965,5,915.8,7.8,105.87,106.4
PROJ-2017-0043,1,2,50.0,50.57,-0.57,133496.18,139389.81,0.5221,1,377.6,3.5,97.14,98.38
PROJ-2017-0043,2,2,100.0,100.0,0.0,266992.37,265028.11,0.9926,2,151.9,0.6,99.52,98.95
PROJ-2017-0044,1,4,25.0,35.57,-10.57,12686.86,12755.41,0.2514,2,800.1,3.5,98.24,97.36
PROJ-2017-0044,2,4,50.0,39.86,10.14,25373.72,25487.19,0.5022,3,864.3,10.8,97.08,98.49
PROJ-2017-0044,3,4,75.0,83.14,-8.14,38060.59,37061.98,0.7303,2,251.9,3.4,98.77,97.17
PROJ-2017-0044,4,4,100.0,100.0,0.0,50747.45,49410.12,0.9736,0,93.0,0.2,98.56,100.57
PROJ-2023-0045,1,2,50.0,37.89,12.11,118204.62,131089.45,0.5545,0,279.1,0.6,122.42,127.99
PROJ-2023-0045,2,2,100.0,91.33,8.67,236409.25,268419.31,1.1354,3,957.4,8.7,124.22,130.62
PROJ-2019-0046,1,2,50.0,45.9,4.1,236324.3,246295.95,0.5211,2,135.9,0.8,101.1,102.92
PROJ-2019-0046,2,2,100.0,73.22,26.78,472648.6,505892.11,1.0703,3,372.4,2.3,101.87,102.72
PROJ-2019-0047,1,2,50.0,50.16,-0.16,235290.49,244028.15,0.5186,2,119.1,0.5,102.43,102.61
PROJ-2019-0047,2,2,100.0,83.49,16.51,470580.99,496428.19,1.0549,0,460.3,2.5,102.53,101.53
PROJ-2022-0048,1,2,50.0,35.69,14.31,75843.79,78773.37,0.5193,2,134.6,0.5,116.23,125.94
PROJ-2022-0048,2,2,100.0,76.84,23.16,151687.57,148639.85,0.9799,2,704.2,4.6,115.72,124.8
PROJ-2016-0049,1,2,50.0,58.28,-8.28,176012.68,171577.55,0.4874,3,1336.5,6.8,94.4,96.2
PROJ-2016-0049,2,2,100.0,100.0,0.0,352025.37,367720.07,1.0446,3,993.7,5.3,94.08,95.38
PROJ-2021-0050,1,2,50.0,50.44,-0.44,28953.13,29495.79,0.5094,4,421.8,2.0,107.61,112.82
PROJ-2021-0050,2,2,100.0,79.56,20.44,57906.27,59964.2,1.0355,4,1305.9,5.0,108.65,112.32
